Contract,Buyer,Supplier,Amount,AwardDate,StartDate,EndDate,PreparatoryPhase,ContractDays,PhaseDays,ContractType
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,1695776,2024-03-25,2024-04-01,2025-03-31,7,364,7,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,4540898,2024-02-15,2024-03-01,2025-03-31,15,395,15,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,77104,2024-02-13,2024-04-01,2025-03-31,48,364,48,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,349523,2023-01-20,2023-01-20,2025-03-31,0,801,0,Computer Services Related
Information technology and telecommunications consultants,Other,Microsoft,1202105,2024-03-22,2024-04-01,2025-03-31,10,364,10,Consulting Related
License/Maintenance fees for Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,3119950,2022-04-06,2022-04-01,2025-03-31,-5,1095,5,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,193290,2023-03-29,2023-03-29,2025-03-31,0,733,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,328378,2023-08-16,2023-08-16,2025-03-31,0,593,0,Computer Services Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,171025,2021-09-23,2021-09-23,2025-03-31,0,1285,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,82435,2024-03-28,2024-04-01,2025-03-31,4,364,4,License/Maintenance Fees Related
COMPUTER SERVICES,Other,Microsoft,41634883,2023-11-01,2023-11-01,2025-03-31,0,516,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,432888,2023-05-23,2023-05-23,2025-03-31,0,678,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,160129,2024-03-11,2024-03-11,2025-03-31,0,385,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,1002055,2020-03-31,2020-03-31,2025-03-31,0,1826,0,Distributed Computing Environment Related
Information technology and telecommunications consultants,Other,Microsoft,5840594,2022-10-20,2022-10-20,2025-03-31,0,893,0,Consulting Related
Information technology and telecommunications consultants,Other,Microsoft,295573,2024-03-05,2024-04-01,2025-03-31,27,364,27,Consulting Related
Information Technology Managed Services,Other,Microsoft,158227,2024-02-23,2024-02-23,2025-03-31,0,402,0,Other
Information technology and telecommunications consultants,Other,Microsoft,343068,2024-03-18,2024-04-01,2025-03-31,14,364,14,Consulting Related
Information technology and telecommunications consultants,Other,Microsoft,245775,2024-03-18,2024-04-01,2025-03-31,14,364,14,Consulting Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,1628487,2023-11-09,2023-11-09,2025-03-31,0,508,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Other,Microsoft,1230088,2024-03-28,2024-04-01,2025-03-31,4,364,4,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,78462,2024-03-31,2024-03-31,2025-03-30,0,364,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,34493,2024-03-27,2024-03-01,2025-02-28,-26,364,26,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,22995,2024-03-27,2024-03-01,2025-02-28,-26,364,26,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,387346,2022-10-12,2022-11-01,2025-02-28,20,850,20,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,206624,2022-10-06,2022-10-01,2025-02-28,-5,881,5,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,1092263,2024-03-27,2024-03-01,2025-02-28,-26,364,26,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,20604,2022-09-21,2022-11-01,2025-02-28,41,850,41,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,312585,2022-03-16,2022-03-01,2025-02-28,-15,1095,15,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,186168,2024-03-26,2024-03-01,2025-02-28,-25,364,25,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,572042,2023-02-10,2023-04-01,2025-02-28,50,699,50,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,17246,2023-11-29,2023-12-01,2025-02-28,2,455,2,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,1210687,2023-07-11,2023-07-01,2025-02-28,-10,608,10,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,126473,2023-12-04,2023-07-19,2025-02-28,-138,590,138,License/Maintenance Fees Related
License/Maintenance fees for Application Software (including COTS) and Application Development and Delivery Software,Other,Microsoft,60553,2023-10-19,2024-02-01,2025-02-28,105,393,105,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,5800489,2023-12-18,2023-12-01,2025-02-28,-17,455,17,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,13539,2023-01-26,2023-04-01,2025-02-28,65,699,65,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,82414,2022-11-02,2022-11-01,2025-02-28,-1,850,1,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,459900,2023-02-28,2023-02-01,2025-02-28,-27,758,27,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,40241,2024-03-27,2024-03-01,2025-02-28,-26,364,26,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,63135,2024-03-27,2024-03-01,2025-02-28,-26,364,26,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,67992,2024-03-27,2024-03-01,2025-02-28,-26,364,26,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,268729,2024-03-27,2024-03-01,2025-02-28,-26,364,26,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,16188,2024-02-29,2024-04-01,2025-02-28,32,333,32,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,1728930,2024-03-25,2024-03-02,2025-02-28,-23,363,23,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,229950,2023-10-03,2023-09-01,2025-02-28,-32,546,32,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,371305,2022-08-23,2022-09-02,2025-02-28,10,910,10,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,2872131,2022-11-04,2022-11-01,2025-02-28,-3,850,3,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,65931,2022-06-22,2022-07-01,2025-02-28,9,973,9,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,103478,2023-07-31,2023-08-01,2025-02-28,1,577,1,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,372335,2023-01-26,2023-04-01,2025-02-28,65,699,65,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,1358768,2024-03-22,2024-04-01,2025-02-28,10,333,10,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,431156,2023-12-11,2023-11-01,2025-02-28,-40,485,40,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,880065,2023-01-26,2023-04-01,2025-02-28,65,699,65,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,5121446,2023-01-17,2023-02-01,2025-02-28,15,758,15,Production and Operation Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,5926451,2024-03-26,2024-03-01,2025-02-28,-25,364,25,Production and Operation Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Employment and Social Development Canada,Microsoft,276087,2022-11-02,2022-11-01,2025-02-28,-1,850,1,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),National Defence,Microsoft,272908,2024-02-27,2024-02-27,2025-02-26,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),National Defence,Microsoft,284796,2024-02-27,2024-02-27,2025-02-26,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,749958,2024-02-20,2024-02-20,2025-02-19,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,621500,2024-02-20,2024-02-20,2025-02-19,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,427194,2024-02-20,2024-02-20,2025-02-19,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),National Defence,Microsoft,33423,2024-02-13,2024-02-13,2025-02-12,0,365,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,507913,2024-01-23,2024-02-01,2025-01-31,9,365,9,Computer Services Related
Information technology and telecommunications consultants,National Defence,Microsoft,1701512,2024-01-26,2024-01-26,2025-01-25,0,365,0,Consulting Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,100607,2023-11-23,2023-11-11,2025-01-01,-12,417,12,License/Maintenance Fees Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,233807,2023-11-16,2023-11-01,2025-01-01,-15,427,15,License/Maintenance Fees Related
Comp Equip Client Desktop/Personal/Port,Other,Microsoft,20278,2023-07-01,2023-07-01,2025-01-01,0,550,0,Other
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,123600,2023-07-27,2023-07-27,2025-01-01,0,524,0,License/Maintenance Fees Related
"Operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,41256,2023-12-21,2024-01-01,2024-12-31,11,365,11,Software Related
License/Maintenance fees for Client Software,Other,Microsoft,401364,2024-01-23,2024-01-23,2024-12-31,0,343,0,License/Maintenance Fees Related
Client Software,Other,Microsoft,34042,2024-02-19,2024-03-01,2024-12-31,11,305,11,Software Related
"License and Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,319488,2024-02-20,2021-01-01,2024-12-31,-1145,1460,1145,Software Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,10600,2023-11-16,2023-11-01,2024-12-31,-15,426,15,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,93130,2023-10-04,2023-10-01,2024-12-21,-3,447,3,Production and Operation Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,1432471,2023-12-12,2023-12-12,2024-12-11,0,365,0,License/Maintenance Fees Related
Computer services,Other,Microsoft,102959,2023-10-23,2023-12-01,2024-11-30,39,365,39,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,74816,2024-02-05,2024-02-02,2024-11-30,-3,302,3,License/Maintenance Fees Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,17159,2023-11-15,2023-11-03,2024-11-02,-12,365,12,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,153318,2023-10-05,2023-10-05,2024-10-17,0,378,0,License/Maintenance Fees Related
License/Maintenance fees for networking software,Other,Microsoft,153318,2023-10-12,2023-10-12,2024-10-11,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for Application Software (including Commercial Off-The-Shelf [COTS]) and Application Development and Delivery Software,Other,Microsoft,18152,2023-10-25,2023-11-02,2024-10-08,8,341,8,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Other,Microsoft,246340,2021-09-15,2021-09-15,2024-09-30,0,1111,0,Production and Operation Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,42935,2023-09-28,2023-09-28,2024-09-27,0,365,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,0,2023-07-27,2023-07-27,2024-07-26,0,365,0,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,650407,2023-07-20,2023-07-20,2024-07-19,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,71925,2024-01-05,2024-01-05,2024-07-18,0,195,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,40950,2022-07-01,2022-07-01,2024-06-30,0,730,0,Computer Services Related
Application software (including COTS) and application development and delivery software,Other,Microsoft,18643,2023-06-29,2023-07-01,2024-06-30,2,365,2,Database Access Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,47744,2022-07-01,2022-07-01,2024-06-30,0,730,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,10596,2022-07-01,2022-07-01,2024-06-30,0,730,0,Computer Services Related
Data and database access services,Other,Microsoft,182246,2021-07-19,2021-07-01,2024-06-30,-18,1095,18,Database Access Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,503974,2023-06-15,2023-06-15,2024-06-14,0,365,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,National Defence,Microsoft,510760,2023-06-13,2023-06-13,2024-06-12,0,365,0,Consulting Related
Information technology and telecommunications consultants,Other,Microsoft,310750,2024-02-02,2024-02-02,2024-05-31,0,119,0,Consulting Related
Information technology and telecommunications consultants,National Defence,Microsoft,550310,2023-05-09,2023-05-09,2024-05-08,0,365,0,Consulting Related
Information technology and telecommunications consultants,Employment and Social Development Canada,Microsoft,502441,2024-01-15,2024-01-15,2024-04-20,0,96,0,Consulting Related
1284 - Client Software related to Distributed Computing Environment (DCE),Other,Microsoft,16600,2021-04-21,2021-04-21,2024-04-20,0,1095,0,Distributed Computing Environment Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,112400,2024-03-22,2024-03-22,2024-04-01,0,10,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,101146,2023-05-12,2023-05-12,2024-04-01,0,325,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,183359,2024-02-14,2024-02-14,2024-03-31,0,46,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,26526,2024-02-02,2024-02-02,2024-03-31,0,58,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,78309,2024-01-14,2024-01-14,2024-03-31,0,77,0,Computer Services Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,4172023,2023-09-25,2023-09-25,2024-03-31,0,188,0,Computer Services Related
Information Technology Managed Services,Other,Microsoft,265084,2021-03-22,2021-03-22,2024-03-31,0,1105,0,Other
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,590420,2023-02-01,2023-02-01,2024-03-31,0,424,0,License/Maintenance Fees Related
Computer equip. related to DCE-Desktop/personal/po,Other,Microsoft,1600080,2021-04-01,2021-04-01,2024-03-31,0,1095,0,Distributed Computing Environment Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,11754,2023-08-17,2023-08-17,2024-03-31,0,227,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,499302,2024-03-27,2024-03-27,2024-03-31,0,4,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,156618,2023-06-30,2023-07-01,2024-03-31,1,274,1,Consulting Related
Information technology and telecommunications consultants,Other,Microsoft,657104,2023-03-29,2023-04-01,2024-03-31,3,365,3,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,156303,2024-03-25,2024-03-25,2024-03-31,0,6,0,License/Maintenance Fees Related
Information technology and telecommunications consultants,Other,Microsoft,730727,2023-04-01,2023-04-01,2024-03-31,0,365,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,27290,2023-09-11,2023-09-11,2024-03-31,0,202,0,License/Maintenance Fees Related
"Rental of computer equipment related to production and operations (P&O) environment - All servers, storage, printers, etc. (includes all related parts and peripherals)",Employment and Social Development Canada,Microsoft,574875,2024-02-13,2024-03-01,2024-03-31,17,30,17,Production and Operation Related
Information Technology and Telecommunications Consultants,Other,Microsoft,1138553,2023-04-01,2023-04-01,2024-03-31,0,365,0,Consulting Related
Information technology and telecommunications consultants,Other,Microsoft,762750,2023-03-14,2023-03-14,2024-03-31,0,383,0,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,135232,2023-04-27,2023-04-28,2024-03-31,1,338,1,License/Maintenance Fees Related
License/Maintenance fees for client software rel,Other,Microsoft,17162,2023-11-01,2023-11-01,2024-03-31,0,151,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,76397,2024-02-27,2024-02-27,2024-03-31,0,33,0,License/Maintenance Fees Related
Computer equip. related to DCE-Desktop/personal/po,Other,Microsoft,95163,2023-03-01,2023-03-01,2024-03-31,0,396,0,Distributed Computing Environment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,183359,2024-02-14,2024-02-14,2024-03-31,0,46,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,214360,2023-12-28,2023-12-28,2024-03-31,0,94,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE,Other,Microsoft,214360,2024-01-16,2024-01-16,2024-03-31,0,75,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,994400,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,33123,2024-02-21,2023-04-01,2024-03-31,-326,365,326,License/Maintenance Fees Related
Management consulting,Other,Microsoft,80167,2023-06-02,2023-04-01,2024-03-31,-62,365,62,Consulting Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,587770,2023-04-20,2023-04-20,2024-03-31,0,346,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,3835092,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,20796,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,143464,2023-01-23,2023-04-01,2024-03-31,68,365,68,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Employment and Social Development Canada,Microsoft,1730467,2023-03-22,2023-04-01,2024-03-31,10,365,10,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,266477,2021-05-21,2021-05-21,2024-03-31,0,1045,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,16764,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Natural Resources Canada,Microsoft,239422,2022-12-21,2022-12-21,2024-03-31,0,466,0,Computer Services Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,143451,2023-03-31,2023-04-01,2024-03-31,1,365,1,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,72127,2023-05-02,2023-05-02,2024-03-31,0,334,0,Computer Services Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Employment and Social Development Canada,Microsoft,113857,2023-11-27,2023-12-01,2024-03-31,4,121,4,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,139288,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,2739606,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR CLIENT SOFTWARE,Other,Microsoft,445350,2022-05-11,2022-05-11,2024-03-31,0,690,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,119517,2023-12-08,2023-11-15,2024-03-31,-23,137,23,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,28205,2023-09-25,2023-09-25,2024-03-31,0,188,0,License/Maintenance Fees Related
License/Maintenance fees for App.Software,Other,Microsoft,50548,2023-04-18,2023-04-18,2024-03-31,0,348,0,License/Maintenance Fees Related
License/Maintenance fees for Client Software,Other,Microsoft,29996,2023-04-18,2023-04-18,2024-03-31,0,348,0,License/Maintenance Fees Related
Computer services-except those purchased from othe,Other,Microsoft,777544,2022-04-01,2022-04-01,2024-03-31,0,730,0,Computer Services Related
Digital channel communications services,Other,Microsoft,1156016,2020-12-14,2020-12-14,2024-03-31,0,1203,0,Other
COMPUTER SERVICES,Other,Microsoft,156618,2023-11-15,2023-11-15,2024-03-31,0,137,0,Computer Services Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,76140,2020-01-17,2020-01-17,2024-03-31,0,1535,0,Distributed Computing Environment Related
"License/Maintenance fees for Client Software related to Distributed
Computing Environment (DCE)",Other,Microsoft,47350,2023-07-31,2023-07-31,2024-03-31,0,244,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR NETWORKING SOFTWARE,Transport Canada,Microsoft,447516,2023-10-10,2023-10-10,2024-03-31,0,173,0,License/Maintenance Fees Related
"License/Maintenance fees for operating system and utility software related to servers, storage, peripherals and components",Other,Microsoft,65088,2023-02-16,2023-02-16,2024-03-31,0,409,0,License/Maintenance Fees Related
"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Other,Microsoft,11571,2023-05-10,2023-05-10,2024-03-31,0,326,0,Equipment Related
License/Maintenance fees for Client Software,Other,Microsoft,27192,2023-08-03,2023-08-03,2024-03-31,0,241,0,License/Maintenance Fees Related
Client software related to Distributed Computing Environment (DCE),Other,Microsoft,121064,2023-08-29,2023-08-29,2024-03-31,0,215,0,Distributed Computing Environment Related
"Communications/Networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",Other,Microsoft,373171,2024-03-21,2024-03-21,2024-03-31,0,10,0,Equipment Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,53911,2023-09-05,2023-09-05,2024-03-31,0,208,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,47921,2023-09-05,2023-09-05,2024-03-31,0,208,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Global Affairs Canada,Microsoft,78309,2023-07-14,2023-07-14,2024-03-31,0,261,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,929195,2023-04-28,2023-04-28,2024-03-31,0,338,0,License/Maintenance Fees Related
LICENSE/MAINTENANCE FEES FOR APPLICATION SOFTWARE (INCLUDING COTS) AND APPLICATION DEVELOPMENT AND DELIVERY SOFTWARE,Transport Canada,Microsoft,162286,2023-01-10,2023-01-10,2024-03-31,0,446,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Other,Microsoft,63959,2023-02-20,2023-04-01,2024-03-31,40,365,40,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,Global Affairs Canada,Microsoft,20840,2023-04-01,2023-04-01,2024-03-31,0,365,0,License/Maintenance Fees Related
License/Maintenance fees for application software (including COTS) and application development and delivery software,National Defence,Microsoft,3312438,2023-03-08,2023-04-01,2024-03-31,24,365,24,License/Maintenance Fees Related
Computer services (includes IT solutions/deliverables as well as IT managed services),Other,Microsoft,25842,2022-06-06,2022-07-01,2024-03-31,25,639,25,Computer Services Related
Information technology and telecommunications consultants,Other,Microsoft,156618,2023-06-30,2023-07-01,2024-03-31,1,274,1,Consulting Related
Information technology and telecommunications consultants,Employment and Social Development Canada,Microsoft,574875,2023-01-09,2023-01-09,2024-03-31,0,447,0,Consulting Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,32558,2024-02-28,2024-02-28,2024-03-31,0,32,0,License/Maintenance Fees Related
License/Maintenance fees for client software related to Distributed Computing Environment (DCE),Other,Microsoft,188630,2024-03-26,2024-03-26,2024-03-31,0,5,0,License/Maintenance Fees Related
